det_id,tpc,side,sipm_pos,adc,channel
112,7,0,5,6,57
113,7,0,6,7,52
113,7,0,7,7,53
114,7,0,8,7,54
114,7,0,9,7,55
115,7,0,10,7,56
115,7,0,11,7,57
116,7,0,12,6,58
116,7,0,13,6,59
116,7,0,14,6,60
116,7,0,15,6,61
116,7,0,16,6,62
116,7,0,17,6,63
117,7,0,18,7,58
117,7,0,19,7,59
118,7,0,20,7,60
118,7,0,21,7,61
119,7,0,22,7,62
119,7,0,23,7,63
120,7,1,0,6,36
120,7,1,1,6,37
120,7,1,2,6,38
120,7,1,3,6,39
120,7,1,4,6,40
120,7,1,5,6,41
121,7,1,6,7,36
121,7,1,7,7,37
122,7,1,8,7,38
122,7,1,9,7,39
123,7,1,10,7,40
123,7,1,11,7,41
124,7,1,12,6,42
124,7,1,13,6,43
124,7,1,14,6,44
124,7,1,15,6,45
124,7,1,16,6,46
124,7,1,17,6,47
125,7,1,18,7,42
125,7,1,19,7,43
126,7,1,20,7,44
126,7,1,21,7,45
127,7,1,22,7,46
127,7,1,23,7,47
