e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050001-2024_07_01_21_39_50_CDT.h5 mpd_run_hvramp_rctl_087_p80.data high 256
205.986 packet-0050001-2024_07_01_21_39_50_CDT.h5 mpd_run_hvramp_rctl_087_p80.data high 256
205.986 packet-0050001-2024_07_01_21_39_50_CDT.h5 mpd_run_hvramp_rctl_087_p81.data high 256
205.986 packet-0050001-2024_07_01_21_39_50_CDT.h5 mpd_run_hvramp_rctl_087_p82.data high 256
205.986 packet-0050001-2024_07_01_21_49_51_CDT.h5 mpd_run_hvramp_rctl_087_p82.data high 256
205.986 packet-0050001-2024_07_01_21_49_51_CDT.h5 mpd_run_hvramp_rctl_087_p83.data high 256
205.986 packet-0050001-2024_07_01_21_49_51_CDT.h5 mpd_run_hvramp_rctl_087_p84.data high 256
205.986 packet-0050001-2024_07_01_21_59_53_CDT.h5 mpd_run_hvramp_rctl_087_p84.data high 256
205.986 packet-0050001-2024_07_01_21_59_53_CDT.h5 mpd_run_hvramp_rctl_087_p85.data high 256
205.986 packet-0050001-2024_07_01_21_59_53_CDT.h5 mpd_run_hvramp_rctl_087_p86.data high 256
205.986 packet-0050001-2024_07_01_22_09_54_CDT.h5 mpd_run_hvramp_rctl_087_p86.data high 256
205.986 packet-0050001-2024_07_01_22_09_54_CDT.h5 mpd_run_hvramp_rctl_087_p87.data high 256
205.986 packet-0050001-2024_07_01_22_09_54_CDT.h5 mpd_run_hvramp_rctl_087_p88.data high 256
205.986 packet-0050001-2024_07_01_22_19_55_CDT.h5 mpd_run_hvramp_rctl_087_p88.data high 256
205.986 packet-0050001-2024_07_01_22_19_55_CDT.h5 mpd_run_hvramp_rctl_087_p89.data high 256
205.986 packet-0050001-2024_07_01_22_19_55_CDT.h5 mpd_run_hvramp_rctl_087_p90.data high 256
205.986 packet-0050001-2024_07_01_22_29_56_CDT.h5 mpd_run_hvramp_rctl_087_p90.data high 256
205.986 packet-0050001-2024_07_01_22_29_56_CDT.h5 mpd_run_hvramp_rctl_087_p91.data high 256
